146,09:30:02
145,09:30:07
144,09:30:12
147,09:30:17
148,09:30:22
146,09:30:27
140,09:30:32
138,09:30:42
136,09:30:52
131,09:30:57
129,09:31:02
128,09:31:07
123,09:31:12
124,09:31:17
123,09:31:22
125,09:31:27
124,09:31:32
124,09:31:42
122,09:31:52
123,09:31:57
124,09:32:02
123,09:32:12
123,09:32:27
122,09:32:32
123,09:32:37
124,09:32:42
123,09:32:47
120,09:32:52
118,09:32:57
116,09:33:02
115,09:33:07
115,09:33:12
116,09:33:27
117,09:33:32
118,09:33:37
117,09:33:42
117,09:33:47
117,09:33:52
117,09:34:07
117,09:34:12
118,09:34:17
117,09:34:22
117,09:34:32
118,09:34:37
117,09:34:47
118,09:34:52
118,09:34:57
